 (Half Day),（半天）
Serial No {0} does not exist,序列号{0}不存在
Serial No {0} has already been received,序列号{0}已收到
Serial No {0} is under maintenance contract upto {1},Serial No {0} is under maintenance contract upto {1}
Serial No {0} is under warranty upto {1},Serial No {0} is under warranty upto {1}
Serial No {0} not in stock,序列号{0}不在库存中
Serial No {0} quantity {1} cannot be a fraction,序列号{0}数量{1}不能是小数
Serial No {0} status must be 'Available' to Deliver,序列号{0}的状态必须为“可用的”
Serial Nos Required for Serialized Item {0},已序列化物品{0}的序列号是必须的
Serial Number Series,序列号序列
Serial number {0} entered more than once,序列号{0}已存在
"Serialized Item {0} cannot be updated \
					using Stock Reconciliation","序列化的项{0}不能更新\
请使用盘点工具"
Series,序列号
Series List for this Transaction,Series List for this Transaction
Series Updated,Series Updated
Series Updated Successfully,Series Updated Successfully
Series is mandatory,Series is mandatory
Series {0} already used in {1},Series {0} already used in {1}
Service,服务
Service Address,服务地址
Service Tax,服务税
Services,服务
Set,设置
"Set Default Values like Company, Currency, Current Fiscal Year, etc.",设置默认值，像公司、货币、当前财年等。
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,设置商品组的销售区域.你也可以设置季度预算分配
Set Status as Available,设置状态为可用
Set as Default,设置为默认
Set as Lost,设置为丢失
Set prefix for numbering series on your transactions,为你的交易编号序列设置的前缀
Set targets Item Group-wise for this Sales Person.,设置此销售的商品销售目标.
Setting Account Type helps in selecting this Account in transactions.,设置帐户类型，在交易中可选择对应帐户。
Setting this Address Template as default as there is no other default,因为没有其他的默认模板请设置此地址模板为默认
Setting up...,设置...
Settings,设置
Settings for HR Module,设置
"Settings to extract Job Applicants from a mailbox e.g. ""jobs@example.com""",提取工作申请电子邮件收件箱的邮件，例如“jobs@example.com”
Setup,设置
Setup Already Complete!!,安装已经完成！
Setup Complete,安装完成
Setup SMS gateway settings,设置短信网关设置
Setup Series,设置系列
Setup Wizard,设置向导
Setup incoming server for jobs email id. (e.g. jobs@example.com),设置工作申请邮件服务器（比如：jobs@example.com）
Setup incoming server for sales email id. (e.g. sales@example.com),设置销售邮件服务器（比如：sales@example.com）
Setup incoming server for support email id. (e.g. support@example.com),设置客户支持邮件服务器（比如：support@example.com）
Share,共享
Share With,分享
Shareholders Funds,股东资金
Shipments to customers.,发货给客户。
Shipping,运输
Shipping Account,运输户头
Shipping Address,运输地址
Shipping Amount,运费
Shipping Rule,运输规则
Shipping Rule Condition,运输规则条件
Shipping Rule Conditions,运输规则条件
Shipping Rule Label,运输规则名称
Shop,店
Shopping Cart,购物车
Short biography for website and other publications.,个人简短说明
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",基于该仓库的有效库存显示“有货”或“无货”
"Show / Hide features like Serial Nos, POS etc.",显示或隐藏一些特性
Show In Website,显示在网站
Show a slideshow at the top of the page,显示幻灯片在页面顶部
Show in Website,显示在网站
Show rows with zero values,显示值为零的行
Show this slideshow at the top of the page,显示该幻灯片在页面顶部
Sick Leave,病假
Signature,签名
Signature to be appended at the end of every email,签名在每封电子邮件的末尾追加
Single,单身
Single unit of an Item.,产品唯一编号
Sit tight while your system is being setup. This may take a few moments.,系统正在安装。这可能需要一些时间。
Slideshow,连续播放
Soap & Detergent,肥皂和洗涤剂
Software,软件
Software Developer,软件开发人员
"Sorry, Serial Nos cannot be merged",对不起，序列号无法合并
"Sorry, companies cannot be merged",对不起，企业不能合并
Source,来源
Source File,源文件
Source Warehouse,源仓库
Source and target warehouse cannot be same for row {0},行{0}中的源和目标仓库不能相同
Source of Funds (Liabilities),负债类科目
Source warehouse is mandatory for row {0},Source warehouse is mandatory for row {0}
Spartan,Spartan
"Special Characters except ""-"" and ""/"" not allowed in naming series",除了特殊字符“ - ”和“/”未命名中不允许系列
Specification Details,规格详细
Specifications,产品规格
"Specify a list of Territories, for which, this Price List is valid",指定的区域列表，其中，价目表是有效的
"Specify a list of Territories, for which, this Shipping Rule is valid",指定的区域列表，其中，运输规则是有效的
"Specify a list of Territories, for which, this Taxes Master is valid",请指明在哪些区域中此定义有效
"Specify the operations, operating cost and give a unique Operation no to your operations.","请申明操作步骤说明及其花销."
Split Delivery Note into packages.,提货单分割成包。
Sports,运动
Sr,Sr
Standard,标准的
Standard Buying,标准采购
Standard Reports,标准报表
Standard Selling,标准销售
Standard contract terms for Sales or Purchase.,销售或采购的标准合同条款。
Start,开始
Start Date,开始日期
Start date of current invoice's period,当前发票的开始日期
Start date should be less than end date for Item {0},{0}的开始日期必须小于结束日期
State,省
Statement of Account,对账单
Static Parameters,静态参数
Status,状态
Status must be one of {0},状态必须是{0}中的一个
Status of {0} {1} is now {2},Status of {0} {1} is now {2}
Status updated to {0},状态更新为{0}
Statutory info and other general information about your Supplier,关于供应商的法定信息和其它普通信息
Stay Updated,有更新通知我
Stock,库存
Stock Adjustment,库存调整
Stock Adjustment Account,库存调整账户
Stock Ageing,库存存放时间分析
Stock Analytics,库存分析
Stock Assets,库存资产
Stock Balance,库存余额
Stock Entries already created for Production Order,生产订单已创建库存条目
Stock Entry,库存条目
Stock Entry Detail,库存条目细节
Stock Expenses,库存费用
Stock Frozen Upto,库存冻结至
Stock Ledger,库存分类帐
Stock Ledger Entry,库存分类帐条目
Stock Ledger entries balances updated,库存分类帐条目剩余更新
Stock Level,库存水平
Stock Liabilities,库存债务
Stock Projected Qty,库存预计数量
Stock Queue (FIFO),库存队列（先进先出）
Stock Received But Not Billed,已入库但未付款
Stock Reconciliation Data,库存对账数据
Stock Reconciliation Template,库存对账模板
Stock Reconciliation,库存盘点
"Stock Reconciliation can be used to update the stock on a particular date, usually as per physical inventory.","Stock Reconciliation can be used to update the stock on a particular date, usually as per physical inventory."
Stock Settings,库存设置
Stock UOM,库存计量单位
Stock UOM Replace Utility,库存计量单位替换工具
Stock UOM updatd for Item {0},更新产品{0}库存计量单位
Stock Uom,库存计量单位
Stock Value,库存值
Stock Value Difference,库存值差异
Stock balances updated,库存剩余更新
Stock cannot be updated against Delivery Note {0},Stock cannot be updated against Delivery Note {0}
Stock entries exist against warehouse {0} cannot re-assign or modify 'Master Name',Stock entries exist against warehouse {0} cannot re-assign or modify 'Master Name'
Stock transactions before {0} are frozen,在{0}之前库存事务被冻结
Stop,停止
Stop Birthday Reminders,停止生日提醒
Stop Material Request,停止材料要求
Stop users from making Leave Applications on following days.,用户不能在禁止休假的日期进行休假申请
Stop!,停止！
Stopped,停止
Stopped order cannot be cancelled. Unstop to cancel.,停止的订单不能被取消请先更改为非停止状态然后取消
Stores,物料
Stub,存根
Sub Assemblies,子组件
"Sub-currency. For e.g. ""Cent""",辅币，例如“角”
Subcontract,转包
Subject,主题
Submit Salary Slip,提交工资单
Submit all salary slips for the above selected criteria,根据以上选择条件提交所有工资单
Submit this Production Order for further processing.,提交此生产订单进行进一步的处理。
Submitted,已提交
Subsidiary,附属的
Successful: ,成功：
Successfully Reconciled,操作成功
Suggestions,建议
Sunday,星期天
Supplier,供应商
Supplier (Payable) Account,供应商（应付）账户
Supplier (vendor) name as entered in supplier master,供应商名称，已录入到供应商基础数据中
Supplier > Supplier Type,供应商>供应商类型
Supplier Account Head,供应商户头
Supplier Address,供应商地址
Supplier Addresses and Contacts,供应商的地址和联系方式
